,day,time,user,message
216,2022-03-02,01:55:32,uuhaman subscribed at Tier 2. They've subscribed for 28 months!,
217,2022-03-02,01:55:33,adaliddelretraso,WOWERS
218,2022-03-02,01:55:33,bestbry210,yyjL yyjL yyjL
219,2022-03-02,01:55:34,existenceofenigmas,yyjCozy
220,2022-03-02,01:55:34,garruku,chubbe1Bois 󠀀
221,2022-03-02,01:55:35,justshatting,WAW
222,2022-03-02,01:55:36,riorden,clinksMarge clinksMarge clinksMarge
223,2022-03-02,01:55:37,y_exp,chubbe1Bois  󠀀
224,2022-03-02,01:55:37,ronzert,looks like someones house NODDERS
225,2022-03-02,01:55:38,iczza,yyjHey yyjHey yyjHey
226,2022-03-02,01:55:38,allexxx1996,yyjPopcorn
227,2022-03-02,01:55:39,jondoni,MmmHmm
228,2022-03-02,01:55:40,skysage,MmmHmm
229,2022-03-02,01:55:40,vincentt23,chubbe1Bois
230,2022-03-02,01:55:40,spaceman2299,yo
231,2022-03-02,01:55:40,dead_teeth,MmmHmm
232,2022-03-02,01:55:41,sinclair_bear,soofloCoffee 󠀀
233,2022-03-02,01:55:43,shawayeem,yyjEars 🎺
234,2022-03-02,01:55:45,zay_ih,yyjPopcorn
235,2022-03-02,01:55:45,en_OW subscribed at Tier 1. They've subscribed for 13 months!,
236,2022-03-02,01:55:45,dcbiscuits,heavHypers
237,2022-03-02,01:55:46,yvan_nix,yyjHey Hi   )
238,2022-03-02,01:55:47,allexxx1996,yyjPopcorn 󠀀
239,2022-03-02,01:55:47,mr_cyrixe,!time
240,2022-03-02,01:55:50,vincentt23,chubbe1Bois 󠀀
241,2022-03-02,01:55:53,keith_2008,WOWSER
242,2022-03-02,01:55:53,dead_teeth,MmmHmm 󠀀
243,2022-03-02,01:55:54,allexxx1996,yyjPopcorn
244,2022-03-02,01:55:54,skysage,MmmHmm 󠀀
245,2022-03-02,01:55:54,eonbask,MmmHmm
246,2022-03-02,01:55:54,y_exp,MmmHmm
247,2022-03-02,01:55:55,garruku,soofloCoffee
248,2022-03-02,01:55:55,arwhaldevil subscribed at Tier 2. They've subscribed for 4 months!,
249,2022-03-02,01:55:56,arkem232,Where’s your wife?
250,2022-03-02,01:55:56,firebat1989,Pog
251,2022-03-02,01:55:58,garruku,soofloCoffee 󠀀
252,2022-03-02,01:55:58,deathgasm94,MmmHmm
253,2022-03-02,01:56:00,jondoni,damn its sunny there
254,2022-03-02,01:56:00,vincentt23,chubbe1Bois 󠀀 󠀀
255,2022-03-02,01:56:00,firebat1989,MmmHmm
256,2022-03-02,01:56:00,allexxx1996,yyjPopcorn 󠀀
257,2022-03-02,01:56:01,ironlion_308,PowerUpL yyjPog PowerUpR
258,2022-03-02,01:56:01,jeffreyvenegas,HYE JINNY HOW ARE U
259,2022-03-02,01:56:01,garruku,soofloCoffee
260,2022-03-02,01:56:02,strawhatchase,yyjL yyjHey
261,2022-03-02,01:56:02,"trawHatChase subscribed at Tier 1. They've subscribed for 3 months, currently on a 3 month streak!",
262,2022-03-02,01:56:02,ashbash159,modCheck yuggie
263,2022-03-02,01:56:05,dcbiscuits,heavHypers heavHypers
264,2022-03-02,01:56:05,dorichan,atpDance
265,2022-03-02,01:56:06,allexxx1996,yyjPopcorn
266,2022-03-02,01:56:06,garruku,soofloCoffee 󠀀
267,2022-03-02,01:56:06,skysage,WOWERS
268,2022-03-02,01:56:07,immicahyep,yyjWiggle
269,2022-03-02,01:56:07,elegs,looks nice
270,2022-03-02,01:56:08,griffisz,green
271,2022-03-02,01:56:09,ashbash159,WOWERS
272,2022-03-02,01:56:09,sofml,VoHiYo VoHiYo VoHiYo
273,2022-03-02,01:56:10,godianoliver,Show the monkas
274,2022-03-02,01:56:11,garruku,soofloCoffee
275,2022-03-02,01:56:11,kinsanitty,you guys traveled on a pickup truck?
276,2022-03-02,01:56:11,ronzert,nice
277,2022-03-02,01:56:13,existenceofenigmas,i slept a lot i woulda been hella late to earlier stream LUL
278,2022-03-02,01:56:14,chriseherrera,yyjWiggle
279,2022-03-02,01:56:14,vincentt23,moneyhWeird nymnCorn
280,2022-03-02,01:56:14,zay_ih,yyjWiggle
281,2022-03-02,01:56:14,linustorvalds,FeelsGoodMan
282,2022-03-02,01:56:15,allexxx1996,yyjPopcorn 󠀀
283,2022-03-02,01:56:16,y_exp,peepoPopcorn
284,2022-03-02,01:56:17,dead_teeth,peepoPopcorn
285,2022-03-02,01:56:20,garruku,soofloCoffee 󠀀
286,2022-03-02,01:56:21,firebat1989,yyjPopcorn
287,2022-03-02,01:56:22,sinclair_bear,soofloCoffee
288,2022-03-02,01:56:25,vickadrio,why are ur things there Hmm
289,2022-03-02,01:56:26,allexxx1996,yyjPopcorn
290,2022-03-02,01:56:26,blackfire6690,yyjHey
291,2022-03-02,01:56:26,elmo_s_friend,yyjWiggle
292,2022-03-02,01:56:27,chriseherrera,yyjG
293,2022-03-02,01:56:28,yvan_nix,Elephant sanctuary PogU
294,2022-03-02,01:56:28,skysage,NODDERS
295,2022-03-02,01:56:28,garruku,soofloCoffee
296,2022-03-02,01:56:28,cuttie_pie91,why the luggage
297,2022-03-02,01:56:29,tawpeeg,PogU
298,2022-03-02,01:56:29,narwhaldevil,peepoPopcorn
299,2022-03-02,01:56:29,skysage,YAAY
300,2022-03-02,01:56:31,jondoni,PogU elephants
301,2022-03-02,01:56:32,kaitypure,PogU
302,2022-03-02,01:56:33,eonbask,yyjPog
303,2022-03-02,01:56:33,garruku,soofloCoffee 󠀀
304,2022-03-02,01:56:34,rudeliel_xsternritter_z,hello there lady mazomiWOW mazomiWOW
305,2022-03-02,01:56:34,ronzert,elephont
306,2022-03-02,01:56:34,firebat1989,yyjHype
307,2022-03-02,01:56:35,tairadono,why u still with your bags?
308,2022-03-02,01:56:36,arkem232,Not there yet?
309,2022-03-02,01:56:37,chriseherrera,yyjHey yyjL
310,2022-03-02,01:56:37,whoamongthem,PogU PogU PogU
311,2022-03-02,01:56:38,sizzlaa,popCat
312,2022-03-02,01:56:39,vincentt23,LETSGOOO 🐘
313,2022-03-02,01:56:39,zay_ih,Still carrying luggage PepeLaugh
314,2022-03-02,01:56:39,claysky,😎 kobilaRaver xar2EDM yyjHey
315,2022-03-02,01:56:39,garruku,PagMan zoo
316,2022-03-02,01:56:40,allexxx1996,yyjPopcorn 󠀀
317,2022-03-02,01:56:40,skysage,WOWERS JinnyMyQueen
318,2022-03-02,01:56:41,dead_teeth,peepoPopcorn 󠀀
319,2022-03-02,01:56:41,scum_art_,yo
320,2022-03-02,01:56:42,munhin00,HYPERS
321,2022-03-02,01:56:42,existenceofenigmas,SeemsGood
322,2022-03-02,01:56:42,chriseherrera,yyjPog yyjPog yyjPog
323,2022-03-02,01:56:43,y_exp,peepoPopcorn  󠀀
324,2022-03-02,01:56:43,dcbiscuits,ddashContent
325,2022-03-02,01:56:45,ronzert,oh still gotta  get there? NODDERS
326,2022-03-02,01:56:46,system0fadowner,Pog
327,2022-03-02,01:56:46,happyfluffyteddy,near hotel KEKWiggle
328,2022-03-02,01:56:46,vincentt23,moneyhWeird nymnCorn
329,2022-03-02,01:56:47,skysage,NODDERS
330,2022-03-02,01:56:48,jondoni,oh
331,2022-03-02,01:56:50,vickadrio,NODDERS
332,2022-03-02,01:56:51,allexxx1996,yyjPopcorn
333,2022-03-02,01:56:52,strawhatchase,NODDERS
334,2022-03-02,01:56:52,firebat1989,NODDERS
335,2022-03-02,01:56:53,skysage,NODDERS 󠀀
336,2022-03-02,01:56:54,y_exp,NODDERS
337,2022-03-02,01:56:57,garruku,peepoTalk
338,2022-03-02,01:56:57,griffisz,Leak pagPause
339,2022-03-02,01:56:58,shawayeem,What could possibly go wrong? monkaW
340,2022-03-02,01:56:58,jondoni,beach PogU
341,2022-03-02,01:56:59,ashbash159,NODDERS
342,2022-03-02,01:56:59,allexxx1996,yyjPopcorn 󠀀
343,2022-03-02,01:56:59,sizzlaa,wawaPog
344,2022-03-02,01:56:59,zay_ih,NODDERS
345,2022-03-02,01:56:59,vincentt23,NODDERS chai
346,2022-03-02,01:56:59,sinclair_bear,soofloCoffee 󠀀
347,2022-03-02,01:57:01,chanock90,"Jinny, Chat, hope y'alls having a good day!"
348,2022-03-02,01:57:01,"hanock90 subscribed at Tier 1. They've subscribed for 14 months, currently on a 14 month streak!",
349,2022-03-02,01:57:01,ronzert,makes sense
350,2022-03-02,01:57:01,existenceofenigmas,ok
351,2022-03-02,01:57:03,yvan_nix,NODDERS
352,2022-03-02,01:57:03,루이스와이푸 haruiswaifu,NODDERS
353,2022-03-02,01:57:04,chriseherrera,yyjSadge poor animals
354,2022-03-02,01:57:04,zulul24,NODDERS
355,2022-03-02,01:57:06,dead_teeth,peepoPopcorn
